起点省会,终点省会,是否直连,邮件量
哈尔滨,济南,0,0.0
哈尔滨,郑州,0,0.0
哈尔滨,武汉,0,0.0
哈尔滨,长沙,0,0.0
哈尔滨,广州,0,0.0
哈尔滨,南宁,0,0.0
哈尔滨,海口,0,0.0
哈尔滨,重庆,0,0.0
哈尔滨,成都,0,0.0
哈尔滨,贵阳,0,0.0
哈尔滨,昆明,0,0.0
哈尔滨,拉萨,0,0.0
哈尔滨,西安,0,0.0
哈尔滨,兰州,0,0.0
哈尔滨,西宁,0,0.0
哈尔滨,银川,0,0.0
哈尔滨,乌鲁木齐,0,0.0
上海,北京,1,77.0
上海,天津,1,18.0
上海,石家庄,0,0.0
上海,太原,1,11.0
上海,呼和浩特,1,3.0
上海,沈阳,1,31.0
上海,长春,1,1.0
上海,哈尔滨,1,8.0
上海,上海,0,0.0
上海,南京,1,13.0
上海,杭州,1,12.0
上海,合肥,1,9.0
上海,福州,1,11.0
上海,南昌,1,9.0
上海,济南,1,5.0
上海,郑州,1,24.0
上海,武汉,1,27.0
上海,长沙,1,24.0
上海,广州,1,11.0
上海,南宁,1,7.0
上海,海口,0,0.0
上海,重庆,1,7.0
上海,成都,1,16.0
上海,贵阳,1,7.0
上海,昆明,1,8.0
上海,拉萨,0,0.0
上海,西安,1,5.0
上海,兰州,1,4.0
上海,西宁,0,0.0
上海,银川,0,0.0
上海,乌鲁木齐,1,2.0
南京,北京,1,38.0
南京,天津,1,11.0
南京,石家庄,1,8.0
南京,太原,1,7.0
南京,呼和浩特,0,0.0
南京,沈阳,1,8.0
南京,长春,0,0.0
南京,哈尔滨,0,0.0
南京,上海,1,123.0
南京,南京,0,0.0
南京,杭州,1,46.0
南京,合肥,1,8.0
南京,福州,1,15.0
南京,南昌,1,15.0
南京,济南,1,11.0
南京,郑州,1,13.0
南京,武汉,1,43.0
南京,长沙,1,20.0
南京,广州,1,25.0
南京,南宁,1,25.0
南京,海口,0,0.0
南京,重庆,1,16.0
南京,成都,1,35.0
南京,贵阳,1,13.0
南京,昆明,1,10.0
南京,拉萨,0,0.0
南京,西安,0,0.0
南京,兰州,0,0.0
南京,西宁,0,0.0
南京,银川,0,0.0
南京,乌鲁木齐,0,0.0
杭州,北京,1,20.0
杭州,天津,1,6.0
杭州,石家庄,1,1.0
杭州,太原,0,0.0
杭州,呼和浩特,0,0.0
杭州,沈阳,1,22.0
杭州,长春,1,3.0
杭州,哈尔滨,1,3.0
杭州,上海,1,51.0
杭州,南京,1,9.0
杭州,杭州,0,0.0
杭州,合肥,1,8.0
杭州,福州,1,1.0
杭州,南昌,1,2.0
杭州,济南,1,3.0
杭州,郑州,1,12.0
杭州,武汉,1,12.0
杭州,长沙,1,7.0
杭州,广州,1,3.0
杭州,南宁,1,1.0
杭州,海口,0,0.0
杭州,重庆,1,4.0
杭州,成都,1,9.0
杭州,贵阳,1,3.0
杭州,昆明,1,5.0
杭州,拉萨,0,0.0
杭州,西安,1,6.0
杭州,兰州,1,1.0
杭州,西宁,0,0.0
杭州,银川,0,0.0
杭州,乌鲁木齐,0,0.0
合肥,北京,0,0.0
合肥,天津,0,0.0
合肥,石家庄,0,0.0
合肥,太原,0,0.0
合肥,呼和浩特,0,0.0
合肥,沈阳,1,1.0
合肥,长春,0,0.0
合肥,哈尔滨,0,0.0
合肥,上海,0,0.0
合肥,南京,0,0.0
合肥,杭州,1,1.0
合肥,合肥,0,0.0
合肥,福州,1,1.0
合肥,南昌,0,0.0
合肥,济南,0,0.0
合肥,郑州,0,0.0
合肥,武汉,0,0.0
合肥,长沙,1,1.0
合肥,广州,0,0.0
合肥,南宁,0,0.0
合肥,海口,0,0.0
合肥,重庆,0,0.0
合肥,成都,0,0.0
合肥,贵阳,0,0.0
合肥,昆明,0,0.0
合肥,拉萨,0,0.0
合肥,西安,0,0.0
合肥,兰州,0,0.0
合肥,西宁,0,0.0
合肥,银川,0,0.0
合肥,乌鲁木齐,0,0.0
福州,北京,0,0.0
福州,天津,0,0.0
福州,石家庄,0,0.0
福州,太原,0,0.0
福州,呼和浩特,0,0.0
福州,沈阳,0,0.0
福州,长春,0,0.0
福州,哈尔滨,0,0.0
福州,上海,0,0.0
福州,南京,0,0.0
福州,杭州,0,0.0
福州,合肥,0,0.0
福州,福州,0,0.0
福州,南昌,0,0.0
福州,济南,0,0.0
福州,郑州,0,0.0
福州,武汉,1,1.0
福州,长沙,0,0.0
福州,广州,0,0.0
福州,南宁,0,0.0
福州,海口,0,0.0
福州,重庆,0,0.0
福州,成都,0,0.0
福州,贵阳,0,0.0
福州,昆明,0,0.0
福州,拉萨,0,0.0
福州,西安,0,0.0
福州,兰州,0,0.0
福州,西宁,0,0.0
福州,银川,0,0.0
福州,乌鲁木齐,0,0.0
南昌,北京,1,10.0
