收寄城市,寄达城市,车辆使用情况,车辆成本,,,,,,
石家庄,太原,"石家庄-太原的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及1辆40t委办车,2辆20t委办车,0辆12t委办车",11885.85,,,,,,
石家庄,侯马,,,,,,,,
石家庄,呼和浩特,"石家庄-呼和浩特的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及2辆40t委办车,1辆20t委办车,0辆12t委办车",33133.4675,,,,,,
石家庄,包头,,,,,,,,
石家庄,沈阳,"石家庄-沈阳的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及2辆40t委办车,0辆20t委办车,0辆12t委办车",51620.1,,,,,,
石家庄,大连,,,,,,,,
石家庄,锦州,,,,,,,,
石家庄,长春,"石家庄-长春的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,2辆20t委办车,2辆12t委办车",60504.354,,,,,,
石家庄,哈尔滨,"石家庄-哈尔滨的邮路使用3辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,1辆12t委办车",61029.378,,,,,,
石家庄,上海,"石家庄-上海的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,1辆20t委办车,1辆12t委办车",48967.7475,,,,,,
石家庄,南京,"石家庄-南京的邮路使用2辆40t自办车,2辆20t自办车,0辆12t自办车以及7辆40t委办车,0辆20t委办车,0辆12t委办车",135086.4,,,,,,
石家庄,常州,,,,,,,,
石家庄,无锡,,,,,,,,
石家庄,苏州,,,,,,,,
石家庄,徐州,,,,,,,,
石家庄,连云港,,,,,,,,
石家庄,淮安,,,,,,,,
石家庄,盐城,,,,,,,,
石家庄,扬州,,,,,,,,
石家庄,南通,,,,,,,,
石家庄,杭州,"石家庄-杭州的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",22926.072,,,,,,
石家庄,湖州,,,,,,,,
石家庄,嘉兴,,,,,,,,
石家庄,宁波,,,,,,,,
石家庄,台州,,,,,,,,
石家庄,金华,,,,,,,,
石家庄,义乌,,,,,,,,
石家庄,温州,,,,,,,,
石家庄,合肥,"石家庄-合肥的邮路使用2辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",23714.172,,,,,,
石家庄,蚌埠,"石家庄-蚌埠的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",13378.956,,,,,,
石家庄,芜湖,,,,,,,,
石家庄,安庆,,,,,,,,
石家庄,福州,"石家庄-福州的邮路使用2辆40t自办车,2辆20t自办车,0辆12t自办车以及1辆40t委办车,0辆20t委办车,0辆12t委办车",86479.272,,,,,,
石家庄,厦门,,,,,,,,
石家庄,泉州,,,,,,,,
石家庄,南昌,"石家庄-南昌的邮路使用3辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,1辆12t委办车",58219.923,,,,,,
石家庄,鹰潭,,,,,,,,
石家庄,赣州,,,,,,,,
石家庄,济南,"石家庄-济南的邮路使用8辆40t自办车,2辆20t自办车,0辆12t自办车以及2辆40t委办车,0辆20t委办车,0辆12t委办车",35414.218,,,,,,
石家庄,潍坊,,,,,,,,
石家庄,烟台,,,,,,,,
石家庄,青岛,,,,,,,,
石家庄,济宁,,,,,,,,
石家庄,临沂,,,,,,,,
石家庄,郑州,"石家庄-郑州的邮路使用8辆40t自办车,2辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",38644.8,,,,,,
石家庄,漯河,,,,,,,,
石家庄,信阳,,,,,,,,
石家庄,洛阳,,,,,,,,
石家庄,武汉,"石家庄-武汉的邮路使用6辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",52194.636,,,,,,
石家庄,荆州,,,,,,,,
石家庄,襄阳,,,,,,,,
石家庄,长沙,"石家庄-长沙的邮路使用5辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",59594.21,,,,,,
石家庄,常德,,,,,,,,
石家庄,衡阳,,,,,,,,
石家庄,广州,"石家庄-广州的邮路使用4辆40t自办车,1辆20t自办车,0辆12t自办车以及2辆40t委办车,2辆20t委办车,0辆12t委办车",196371.747,,,,,,
石家庄,汕头,,,,,,,,
石家庄,深圳,,,,,,,,
石家庄,东莞,,,,,,,,
石家庄,湛江,,,,,,,,
石家庄,中山,,,,,,,,
石家庄,南宁,"石家庄-南宁的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,1辆20t委办车,0辆12t委办车",67332.0765,,,,,,
石家庄,柳州,,,,,,,,
石家庄,海口,,,,,,,,
石家庄,重庆,"石家庄-重庆的邮路使用2辆40t自办车,1辆20t自办车,0辆12t自办车以及2辆40t委办车,2辆20t委办车,0辆12t委办车",127889.471,,,,,,
石家庄,成都,"石家庄-成都的邮路使用2辆40t自办车,0辆20t自办车,1辆12t自办车以及2辆40t委办车,0辆20t委办车,1辆12t委办车",110093.43,,,,,,
石家庄,南充,,,,,,,,
石家庄,内江,,,,,,,,
石家庄,贵阳,"石家庄-贵阳的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及2辆40t委办车,1辆20t委办车,0辆12t委办车",83193.1965,,,,,,
石家庄,昆明,,,,,,,,
石家庄,大理州,,,,,,,,
石家庄,拉萨,,,,,,,,
石家庄,西安,"石家庄-西安的邮路使用4辆40t自办车,1辆20t自办车,0辆12t自办车以及2辆40t委办车,0辆20t委办车,0辆12t委办车",63650.664,,,,,,
石家庄,宝鸡,,,,,,,,
石家庄,兰州,"石家庄-兰州的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及2辆40t委办车,3辆20t委办车,1辆12t委办车",104258.07,,,,,,
石家庄,西宁,,,,,,,,
石家庄,银川,,,,,,,,
石家庄,乌鲁木齐,,,,,,,,
石家庄,阿克苏,,,,,,,,
石家庄,喀什,,,,,,,,
唐山,北京,"唐山-北京的邮路使用1辆40t自办车,0辆20t自办车,1辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",2312.048,,,,,,
唐山,天津,"唐山-天津的邮路使用4辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",4373.952,,,,,,
唐山,石家庄,"唐山-石家庄的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",4315.61,,,,,,
唐山,唐山,,,,,,,,
唐山,廊坊,"唐山-廊坊的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",1416.564,,,,,,
唐山,保定,"唐山-保定的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,1辆12t委办车",4974.75,,,,,,
唐山,太原,,,,,,,,
唐山,侯马,,,,,,,,
唐山,呼和浩特,,,,,,,,
唐山,包头,,,,,,,,
唐山,沈阳,,,,,,,,
唐山,大连,,,,,,,,
唐山,锦州,,,,,,,,
唐山,长春,,,,,,,,
唐山,哈尔滨,,,,,,,,
唐山,上海,,,,,,,,
唐山,南京,,,,,,,,
唐山,常州,,,,,,,,
唐山,无锡,,,,,,,,
唐山,苏州,,,,,,,,
唐山,徐州,,,,,,,,
唐山,连云港,,,,,,,,
唐山,淮安,,,,,,,,
唐山,盐城,,,,,,,,
唐山,扬州,,,,,,,,
唐山,南通,,,,,,,,
唐山,杭州,,,,,,,,
唐山,湖州,,,,,,,,
唐山,嘉兴,,,,,,,,
唐山,宁波,,,,,,,,
唐山,台州,,,,,,,,
唐山,金华,,,,,,,,
唐山,义乌,,,,,,,,
唐山,温州,,,,,,,,
唐山,合肥,,,,,,,,
唐山,蚌埠,,,,,,,,
唐山,芜湖,,,,,,,,
唐山,安庆,,,,,,,,
唐山,福州,,,,,,,,
唐山,厦门,,,,,,,,
唐山,泉州,,,,,,,,
唐山,南昌,,,,,,,,
唐山,鹰潭,,,,,,,,
唐山,赣州,,,,,,,,
唐山,济南,,,,,,,,
唐山,潍坊,,,,,,,,
唐山,烟台,,,,,,,,
唐山,青岛,,,,,,,,
唐山,济宁,,,,,,,,
唐山,临沂,,,,,,,,
唐山,郑州,,,,,,,,
唐山,漯河,,,,,,,,
唐山,信阳,,,,,,,,
唐山,洛阳,,,,,,,,
唐山,武汉,,,,,,,,
唐山,荆州,,,,,,,,
唐山,襄阳,,,,,,,,
唐山,长沙,,,,,,,,
唐山,常德,,,,,,,,
唐山,衡阳,,,,,,,,
唐山,广州,,,,,,,,
唐山,汕头,,,,,,,,
唐山,深圳,,,,,,,,
唐山,东莞,,,,,,,,
唐山,湛江,,,,,,,,
唐山,中山,,,,,,,,
唐山,南宁,,,,,,,,
唐山,柳州,,,,,,,,
唐山,海口,,,,,,,,
唐山,重庆,,,,,,,,
唐山,成都,,,,,,,,
唐山,南充,,,,,,,,
唐山,内江,,,,,,,,
唐山,贵阳,,,,,,,,
唐山,昆明,,,,,,,,
唐山,大理州,,,,,,,,
唐山,拉萨,,,,,,,,
唐山,西安,,,,,,,,
唐山,宝鸡,,,,,,,,
唐山,兰州,,,,,,,,
唐山,西宁,,,,,,,,
唐山,银川,,,,,,,,
唐山,乌鲁木齐,,,,,,,,
唐山,阿克苏,,,,,,,,
唐山,喀什,,,,,,,,
廊坊,北京,"廊坊-北京的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,1辆20t委办车,1辆12t委办车",1498.97,,,,,,
廊坊,天津,"廊坊-天津的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,1辆12t委办车",2102.464,,,,,,
廊坊,石家庄,"廊坊-石家庄的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",2485.2,,,,,,
廊坊,唐山,"廊坊-唐山的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",1399.996,,,,,,
廊坊,廊坊,,,,,,,,
廊坊,保定,"廊坊-保定的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",2518.336,,,,,,
廊坊,太原,"廊坊-太原的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,3辆12t委办车",16102.827,,,,,,
廊坊,侯马,,,,,,,,
廊坊,呼和浩特,,,,,,,,
廊坊,包头,,,,,,,,
廊坊,沈阳,"廊坊-沈阳的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",6837.09,,,,,,
廊坊,大连,,,,,,,,
廊坊,锦州,,,,,,,,
廊坊,长春,,,,,,,,
廊坊,哈尔滨,"廊坊-哈尔滨的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",12170.99,,,,,,
廊坊,上海,,,,,,,,
廊坊,南京,,,,,,,,
廊坊,常州,,,,,,,,
廊坊,无锡,"廊坊-无锡的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,1辆20t委办车,0辆12t委办车",24491.1875,,,,,,
廊坊,苏州,,,,,,,,
廊坊,徐州,,,,,,,,
廊坊,连云港,,,,,,,,
廊坊,淮安,,,,,,,,
廊坊,盐城,,,,,,,,
廊坊,扬州,,,,,,,,
廊坊,南通,,,,,,,,
廊坊,杭州,"廊坊-杭州的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",12141.896,,,,,,
廊坊,湖州,,,,,,,,
廊坊,嘉兴,,,,,,,,
廊坊,宁波,,,,,,,,
廊坊,台州,,,,,,,,
廊坊,金华,,,,,,,,
廊坊,义乌,,,,,,,,
廊坊,温州,,,,,,,,
廊坊,合肥,,,,,,,,
廊坊,蚌埠,,,,,,,,
廊坊,芜湖,,,,,,,,
廊坊,安庆,,,,,,,,
廊坊,福州,,,,,,,,
廊坊,厦门,,,,,,,,
廊坊,泉州,,,,,,,,
