中心局B,中心局M,中心局N,初始路线,串行路线,初始车辆使用情况,串行车辆使用情况,初始成本,串行成本,节约成本
北京,太原,上海,"北京-太原,太原-北京,北京-上海,上海-北京",北京-太原-上海-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,1辆20t车,1辆12t车",,42719.364,0,0
北京,太原,南京,"北京-太原,太原-北京,北京-南京,南京-北京",北京-太原-南京-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,1辆20t车,1辆12t车",,36881.856,0,0
北京,太原,杭州,"北京-太原,太原-北京,北京-杭州,杭州-北京",北京-太原-杭州-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,4辆12t车",,78646.524,0,0
北京,太原,福州,"北京-太原,太原-北京,北京-福州,福州-北京",北京-太原-福州-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用1辆40t车,0辆20t车,0辆12t车",,43629.32,0,0
北京,太原,南昌,"北京-太原,太原-北京,北京-南昌,南昌-北京",北京-太原-南昌-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,2辆12t车",,47235.04,0,0
北京,太原,济南,"北京-太原,太原-北京,北京-济南,济南-北京",北京-太原-济南-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,2辆20t车,2辆12t车",,31164.95,0,0
北京,太原,郑州,"北京-太原,太原-北京,北京-郑州,郑州-北京",北京-太原-郑州-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,2辆20t车,2辆12t车",,48270.39200000001,0,0
北京,太原,武汉,"北京-太原,太原-北京,北京-武汉,武汉-北京",北京-太原-武汉-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用1辆40t车,1辆20t车,0辆12t车",,47262.478,0,0
北京,太原,长沙,"北京-太原,太原-北京,北京-长沙,长沙-北京",北京-太原-长沙-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用1辆40t车,0辆20t车,1辆12t车",,56926.664000000004,0,0
北京,太原,广州,"北京-太原,太原-北京,北京-广州,广州-北京",北京-太原-广州-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,2辆20t车,0辆12t车",,72798.74799999999,0,0
