起点省会,终点省会,路由,邮件量,总的邮件量
郑州,哈尔滨,['郑州-哈尔滨'],[3],3
郑州,上海,['郑州-上海'],[3],3
郑州,南京,['郑州-南京'],[8],8
郑州,杭州,['郑州-杭州'],[4],4
郑州,合肥,['郑州-合肥'],[5],5
郑州,福州,['郑州-泉州-福州'],[2],2
郑州,南昌,['郑州-南昌'],[4],4
郑州,济南,['郑州-济南'],[2],2
郑州,郑州,[],[],0
郑州,武汉,['郑州-武汉'],[2],2
郑州,长沙,['郑州-长沙'],[6],6
郑州,广州,['郑州-深圳-广州'],[1],1
郑州,南宁,['郑州-南宁'],[4],4
郑州,海口,[],[],0
郑州,重庆,['郑州-重庆'],[4],4
郑州,成都,"['郑州-南充-宜宾-成都', '郑州-成都', '郑州-南充-成都']","[1, 5, 1]",7
郑州,贵阳,['郑州-贵阳'],[2],2
郑州,昆明,['郑州-昆明'],[1],1
郑州,拉萨,[],[],0
郑州,西安,[],[],0
郑州,兰州,['郑州-兰州'],[4],4
郑州,西宁,['郑州-兰州-西宁'],[1],1
郑州,银川,[],[],0
郑州,乌鲁木齐,['郑州-攀枝花-乌鲁木齐'],[1],1
武汉,北京,['武汉-北京'],[7],7
武汉,天津,['武汉-天津'],[1],1
武汉,石家庄,[],[],0
武汉,太原,['武汉-太原'],[3],3
武汉,呼和浩特,[],[],0
武汉,沈阳,['武汉-沈阳'],[6],6
武汉,长春,['武汉-沈阳-长春'],[1],1
武汉,哈尔滨,['武汉-沈阳-哈尔滨'],[1],1
武汉,上海,"['武汉-上海', '武汉-南京-上海']","[5, 1]",6
武汉,南京,"['武汉-南京', '武汉-无锡-南京']","[6, 1]",7
武汉,杭州,"['武汉-金华-杭州', '武汉-杭州', '武汉-长沙-杭州']","[5, 15, 1]",21
武汉,合肥,['武汉-合肥'],[16],16
武汉,福州,[],[],0
武汉,南昌,['武汉-南昌'],[10],10
武汉,济南,['武汉-济南'],[1],1
武汉,郑州,"['武汉-郑州', '武汉-西安-郑州']","[8, 1]",9
武汉,武汉,[],[],0
武汉,长沙,['武汉-长沙'],[26],26
武汉,广州,"['武汉-广州', '武汉-东莞-广州']","[13, 3]",16
武汉,南宁,['武汉-南宁'],[8],8
武汉,海口,[],[],0
武汉,重庆,['武汉-重庆'],[9],9
武汉,成都,['武汉-成都'],[4],4
武汉,贵阳,['武汉-贵阳'],[10],10
武汉,昆明,"['武汉-金华-杭州-昆明', '武汉-昆明']","[1, 6]",7
武汉,拉萨,[],[],0
武汉,西安,"['武汉-西安', '武汉-攀枝花-西安']","[3, 1]",4
武汉,兰州,[],[],0
武汉,西宁,[],[],0
武汉,银川,[],[],0
武汉,乌鲁木齐,['武汉-攀枝花-乌鲁木齐'],[1],1
长沙,北京,['长沙-北京'],[18],18
长沙,天津,[],[],0
长沙,石家庄,[],[],0
长沙,太原,[],[],0
长沙,呼和浩特,['长沙-北京-呼和浩特'],[2],2
长沙,沈阳,['长沙-沈阳'],[7],7
长沙,长春,[],[],0
长沙,哈尔滨,['长沙-沈阳-哈尔滨'],[1],1
长沙,上海,['长沙-上海'],[3],3
长沙,南京,"['长沙-南京', '长沙-无锡-南京']","[9, 1]",10
长沙,杭州,"['长沙-杭州', '长沙-金华-杭州']","[1, 3]",4
长沙,合肥,['长沙-合肥'],[2],2
长沙,福州,[],[],0
长沙,南昌,[],[],0
长沙,济南,['长沙-潍坊-济南'],[3],3
长沙,郑州,['长沙-郑州'],[4],4
长沙,武汉,['长沙-武汉'],[3],3
长沙,长沙,[],[],0
长沙,广州,[],[],0
长沙,南宁,['长沙-南宁'],[1],1
长沙,海口,[],[],0
长沙,重庆,[],[],0
长沙,成都,['长沙-成都'],[4],4
长沙,贵阳,[],[],0
长沙,昆明,['长沙-昆明'],[4],4
长沙,拉萨,[],[],0
长沙,西安,['长沙-攀枝花-西安'],[4],4
长沙,兰州,['长沙-攀枝花-兰州'],[1],1
长沙,西宁,[],[],0
长沙,银川,[],[],0
长沙,乌鲁木齐,[],[],0
广州,北京,"['广州-天津-北京', '广州-东莞-北京', '广州-北京', '广州-东莞-天津-北京']","[5, 3, 4, 5]",17
广州,天津,"['广州-天津', '广州-东莞-天津']","[12, 6]",18
广州,石家庄,"['广州-东莞-石家庄', '广州-天津-石家庄', '广州-石家庄']","[2, 1, 1]",4
广州,太原,['广州-太原'],[2],2
广州,呼和浩特,['广州-沈阳-呼和浩特'],[1],1
广州,沈阳,"['广州-沈阳', '广州-东莞-沈阳']","[30, 4]",34
广州,长春,"['广州-沈阳-长春', '广州-东莞-长春']","[5, 1]",6
广州,哈尔滨,"['广州-沈阳-哈尔滨', '广州-东莞-哈尔滨']","[7, 3]",10
广州,上海,"['广州-东莞-上海', '广州-上海']","[10, 8]",18
广州,南京,"['广州-南京', '广州-东莞-南京']","[18, 3]",21
广州,杭州,"['广州-温州-杭州', '广州-杭州', '广州-东莞-杭州', '广州-东莞-温州-杭州']","[4, 2, 6, 1]",13
广州,合肥,"['广州-东莞-合肥', '广州-合肥']","[2, 8]",10
广州,福州,"['广州-泉州-福州', '广州-福州']","[2, 1]",3
广州,南昌,"['广州-东莞-南昌', '广州-南昌']","[2, 4]",6
广州,济南,"['广州-潍坊-济南', '广州-东莞-潍坊-济南', '广州-东莞-济南']","[5, 1, 1]",7
广州,郑州,"['广州-郑州', '广州-东莞-郑州']","[16, 3]",19
广州,武汉,"['广州-东莞-武汉', '广州-武汉']","[3, 10]",13
广州,长沙,"['广州-长沙', '广州-东莞-长沙']","[20, 1]",21
广州,广州,[],[],0
广州,南宁,"['广州-南宁', '广州-东莞-南宁']","[5, 1]",6
广州,海口,['广州-海口'],[1],1
广州,重庆,"['广州-东莞-重庆', '广州-重庆', '广州-成都-重庆']","[4, 2, 1]",7
广州,成都,['广州-成都'],[7],7
广州,贵阳,"['广州-东莞-贵阳', '广州-贵阳']","[2, 3]",5
广州,昆明,"['广州-昆明', '广州-东莞-昆明']","[5, 2]",7
广州,拉萨,['广州-成都-拉萨'],[1],1
广州,西安,"['广州-东莞-西安', '广州-攀枝花-西安', '广州-东莞-攀枝花-西安']","[2, 2, 1]",5
